bathrooms,floor,price,price_m2,rooms,size,latitude,longitude,floor_was_missing,price_cut
2.0,1.0,179630.0,2270.0,2.0,79.0,40.4635994,-3.4814658,False,"(178000.0, 190000.0]"
1.0,2.0,169000.0,2816.0000000000005,1.0,60.0,40.40490339999999,-3.7325722,False,"(165000.0, 178000.0]"
2.0,2.4203319502074687,360000.0,3750.0,2.0,96.0,40.536469,-3.636813099999999,True,"(330000.0, 380000.0]"
2.0,4.0,265154.0,2549.0,3.0,104.0,40.3600866,-3.593182399999999,False,"(257000.0, 288800.0]"
2.0,0.0,165000.0,1671.0,3.0,99.0,40.297497,-3.4508315,False,"(155000.0, 165000.0]"
2.0,2.4203319502074687,221000.0,2326.0,3.0,95.0,40.3760381,-3.6990068,True,"(209000.0, 230000.0]"
1.0,2.4203319502074687,133900.0,1809.0000000000002,2.0,74.0,40.3854876,-3.6680406,True,"(124000.0, 133900.0]"
1.0,0.0,99000.0,2605.0,1.0,38.0,40.3919079,-3.737517099999999,False,"(93000.0, 110000.0]"
2.0,1.0,289000.0,2275.0,3.0,127.0,40.6803663,-3.6161491,False,"(288800.0, 330000.0]"
2.0,2.4203319502074687,459000.0,3038.9999999999995,3.0,151.0,40.418717,-3.6685657,True,"(450000.0, 550000.0]"
2.0,8.0,287000.0,2302.0,3.0,125.0,40.3149647,-3.8695785,False,"(257000.0, 288800.0]"
1.0,4.0,162135.0,2441.0,2.0,66.0,40.4609233,-3.4408981,False,"(155000.0, 165000.0]"
2.0,4.0,253000.0,2025.0,3.0,125.0,40.3149647,-3.8695785,False,"(230000.0, 257000.0]"
1.0,2.4203319502074687,133000.0,1662.0,4.0,80.0,40.3319506,-3.7686545,True,"(124000.0, 133900.0]"
2.0,2.4203319502074687,202500.0,1854.0,3.0,109.0,40.1966531,-3.6944664,True,"(190000.0, 209000.0]"
2.0,0.0,411000.0,2308.0000000000005,3.0,178.0,40.4090869,-3.8946981,False,"(380000.0, 450000.0]"
2.0,1.0,354900.0,3161.0,3.0,112.0,40.4942809,-3.8782318,False,"(330000.0, 380000.0]"
2.0,2.4203319502074687,177000.0,1679.0,3.0,105.0,40.1960401,-3.6649309,True,"(165000.0, 178000.0]"
2.0,2.4203319502074687,208500.0,2015.0000000000002,2.0,103.0,40.6459676,-3.9892634,True,"(190000.0, 209000.0]"
2.0,2.0,233734.0,2101.0,3.0,111.0,40.3536206,-3.6823026,False,"(230000.0, 257000.0]"
1.0,1.0,138900.0,2013.0,3.0,69.0,40.3841215,-3.7444985,False,"(133900.0, 143417.5]"
1.0,2.4203319502074687,135000.0,1800.0,3.0,75.0,40.3870042,-3.6695334,True,"(133900.0, 143417.5]"
2.0,2.4203319502074687,203800.0,2221.0,3.0,92.0,40.3600866,-3.593182399999999,True,"(190000.0, 209000.0]"
2.0,2.4203319502074687,190000.0,2183.0000000000005,1.0,87.0,40.4502556,-3.704599399999999,True,"(178000.0, 190000.0]"
3.0,1.0,842000.0,3177.0,4.0,265.0,40.4104322,-3.7970675,False,"(715000.0, 1095000.0]"
1.0,3.0,350000.0,10000.0,2.0,35.0,40.435471,-3.6881973,False,"(330000.0, 380000.0]"
2.0,2.4203319502074687,304000.0,2075.0,4.0,146.0,40.3805041,-3.6381528,True,"(288800.0, 330000.0]"
2.0,4.0,410000.0,3014.0,3.0,136.0,40.39286209999999,-3.7700084,False,"(380000.0, 450000.0]"
1.0,2.4203319502074687,151000.0,2396.0,2.0,63.0,40.3953441,-3.7145134,True,"(143417.5, 155000.0]"
2.0,1.0,91000.0,1137.0,2.0,80.0,40.48640169999999,-4.1722255,False,"(19999.999, 93000.0]"
2.0,1.0,180000.0,2000.0,3.0,90.0,40.4238637,-3.5700002,False,"(178000.0, 190000.0]"
3.0,1.0,176000.0,2070.0,3.0,85.0,40.3840774,-3.535788,False,"(165000.0, 178000.0]"
4.0,2.4203319502074687,1610000.0,8655.0,3.0,186.0,40.4533356,-3.689516999999999,True,"(1095000.0, 19220600.0]"
2.0,3.0,268914.0,2513.0,3.0,107.0,40.3600866,-3.593182399999999,False,"(257000.0, 288800.0]"
1.0,2.4203319502074687,120000.0,1791.0,3.0,67.0,40.4023233,-3.6059715,True,"(110000.0, 124000.0]"
3.0,2.4203319502074687,545000.0,3186.0000000000005,4.0,171.0,40.4052099,-3.9067567,True,"(450000.0, 550000.0]"
1.0,7.0,123000.0,2460.0,2.0,50.0,40.4006377,-3.6046696,False,"(110000.0, 124000.0]"
2.0,2.4203319502074687,216100.0,2298.0,2.0,94.0,40.4611173,-3.4678608,True,"(209000.0, 230000.0]"
1.0,2.4203319502074687,350000.0,5383.999999999999,2.0,65.0,40.4239749,-3.6658272,True,"(330000.0, 380000.0]"
2.0,2.4203319502074687,360000.0,2706.0000000000005,5.0,133.0,40.4768283,-3.6429347,True,"(330000.0, 380000.0]"
1.0,3.0,144000.0,1309.0000000000002,4.0,110.0,40.3666635,-3.7558343,False,"(143417.5, 155000.0]"
3.0,0.0,475000.0,3145.0,3.0,151.0,40.4017485,-3.8984616,False,"(450000.0, 550000.0]"
2.0,2.4203319502074687,285900.0,3183.9999999999995,3.0,90.0,40.36638,-3.7557473,True,"(257000.0, 288800.0]"
2.0,2.0,213211.0,1874.0,3.0,114.0,40.4598286,-3.4613526,False,"(209000.0, 230000.0]"
1.0,2.4203319502074687,115000.0,1916.0,3.0,60.0,40.3693245,-3.7487319,True,"(110000.0, 124000.0]"
1.0,2.0,159900.0,1998.0000000000002,2.0,80.0,40.449566,-3.468712,False,"(155000.0, 165000.0]"
2.0,6.0,198000.0,1980.0,4.0,100.0,40.3452799,-3.822901099999999,False,"(190000.0, 209000.0]"
2.0,1.0,204000.0,2040.0,3.0,100.0,40.4012507,-3.6615795,False,"(190000.0, 209000.0]"
1.0,3.0,153000.0,2637.0,1.0,58.0,40.467844,-3.8007127,False,"(143417.5, 155000.0]"
2.0,2.4203319502074687,470000.0,3586.9999999999995,3.0,131.0,40.4533356,-3.689516999999999,True,"(450000.0, 550000.0]"
3.0,2.4203319502074687,143000.0,1144.0000000000002,4.0,125.0,40.8114262,-3.7657848,True,"(133900.0, 143417.5]"
2.0,2.4203319502074687,279000.0,2325.0,4.0,120.0,40.3897056,-3.661450699999999,True,"(257000.0, 288800.0]"
2.0,2.4203319502074687,294800.0,2319.0,3.0,127.0,40.39983,-3.55698,True,"(288800.0, 330000.0]"
3.0,3.0,750000.0,3348.0000000000005,5.0,224.0,40.4533356,-3.689516999999999,False,"(715000.0, 1095000.0]"
2.0,2.0,354900.0,3675.0,3.0,97.0,40.4746363,-3.5791753,False,"(330000.0, 380000.0]"
2.0,2.4203319502074687,232400.0,2163.0000000000005,3.0,107.0,40.45974470000001,-3.4667011,True,"(230000.0, 257000.0]"
2.0,1.0,265154.0,2549.0,3.0,104.0,40.3600866,-3.593182399999999,False,"(257000.0, 288800.0]"
2.0,2.4203319502074687,146000.0,1719.0,2.0,85.0,40.48049169999999,-3.3930413,True,"(143417.5, 155000.0]"
1.0,2.0,139500.0,2250.0,2.0,62.0,40.40498907396552,-3.7254735536206893,False,"(133900.0, 143417.5]"
5.0,2.4203319502074687,1895000.0,7519.0,4.0,252.0,40.4223818,-3.6921742,True,"(1095000.0, 19220600.0]"
1.0,0.0,123000.0,1640.0,2.0,75.0,40.3474165,-3.5428989,False,"(110000.0, 124000.0]"
